feature,importance,split
DTF_season_sin_-0.8035476485339116,0.0,1
DTF_season_sin_-0.7944973291665992,0.0,1
DTF_season_sin_-0.7931896839451843,0.0,1
DTF_season_sin_-0.7839338166829201,0.0,1
DTF_season_sin_-0.7825970017677834,0.0,1
DTF_season_sin_-0.7731383255706026,0.0,1
DTF_season_sin_-0.7717727365467836,0.0,1
DTF_season_sin_-0.7621140503891487,0.0,1
DTF_season_sin_-0.7607200913564104,0.0,1
DTF_season_sin_-0.7508642533989489,0.0,1
DTF_season_sin_-0.7494423368521954,0.0,1
DTF_season_sin_-0.7393922635959241,0.0,1
DTF_season_sin_-0.7379428103031386,0.0,1
DTF_season_sin_-0.7277014757264236,0.0,1
DTF_season_sin_-0.7262249146041543,0.0,1
DTF_season_sin_-0.7157953492826642,0.0,1
DTF_season_sin_-0.7142921172691032,0.0,1
DTF_season_sin_-0.7036774074790128,0.0,1
DTF_season_sin_-0.7021479494046978,0.0,1
DTF_season_sin_-0.6913512362094071,0.0,1
DTF_season_sin_-0.6897960046655887,0.0,1
DTF_season_sin_-0.6788204829862355,0.0,1
DTF_season_sin_-0.6772399381909491,0.0,1
DTF_season_sin_-0.666088855860977,0.0,1
DTF_season_sin_-0.6644834655228552,0.0,1
DTF_season_sin_-0.65316012232693,0.0,1
DTF_season_sin_-0.6515303615068021,0.0,1
DTF_season_sin_-0.6400381082043503,0.0,1
DTF_season_sin_-0.6383844591746642,0.0,1
DTF_season_sin_-0.6267266965083301,0.0,1
DTF_season_sin_-0.6250496486104377,0.0,1
DTF_season_sin_-0.6132298262997502,0.0,1
DTF_season_sin_-0.6115298757991053,0.0,1
DTF_season_sin_-0.5995514915196489,0.0,1
DTF_season_sin_-0.5978291414589552,0.0,1
DTF_season_sin_-0.5856957398073508,0.0,1
DTF_season_sin_-0.5839514998576998,0.0,1
DTF_season_sin_-0.5699010576127624,0.0,1
DTF_season_sin_-0.5556819724760489,0.0,1
